"","rowname","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"1","alpha[1]",1.63646129087372,0.010737548799931,0.781161635630588,0.112998647061329,1.12795132425413,1.6319176959963,2.12687509241442,3.21082863028414,5292.62971698649,1.00005757014259
"2","alpha[2]",1.49144013713717,0.00933859796628194,0.685789870594581,0.119358792365254,1.04414477681839,1.49952981271547,1.94890214924374,2.82301109936404,5392.85538056827,0.999984699187598
"3","alpha[3]",1.7230484352791,0.0118505353688653,0.83651812679145,0.156595473497528,1.18347722881677,1.69357081110949,2.22700536772346,3.46929525580867,4982.815089165,1.00059528534828
"4","alpha[4]",1.50866195096847,0.0111806302056694,0.882771964815762,-0.328232887657495,0.999838745721272,1.53853725687469,2.06220501444214,3.15707273121335,6233.96697778592,1.00003174866351
"5","alpha[5]",2.13452660658796,0.0137677788046972,0.862497787749918,0.617127136773437,1.54332742278102,2.07048771057987,2.66441801761209,3.99556259853263,3924.53511901923,1.00078003835495
"6","alpha[6]",1.52258310842022,0.0104871173469187,0.77090581606825,-0.0396667323809597,1.02761732550208,1.5408358454663,2.02028210180072,3.02306542888717,5403.68953693981,1.0001534162614
"7","beta_dist_goal[1]",-1.40797569971214,0.00509666954026972,0.362851615356159,-2.19307044979337,-1.61953535855917,-1.38410184627744,-1.16706880323342,-0.767578925498398,5068.56675326167,0.999969979088369
"8","beta_dist_goal[2]",-1.32197565045082,0.00377512429453961,0.291249186057276,-1.90473938909836,-1.51423993146953,-1.31525067903117,-1.12716150779441,-0.769074781248318,5952.05492651898,1.0001650785925
"9","beta_dist_goal[3]",-1.39592749305224,0.00526134302729547,0.366302351299531,-2.2168006960492,-1.60613634509578,-1.36677505293843,-1.15473774592052,-0.756400201513545,4847.14685036407,1.00008542250647
"10","beta_dist_goal[4]",-1.39687538558266,0.00552792954557788,0.398768218179722,-2.29182409085029,-1.61103461959089,-1.36691535381993,-1.14430004379059,-0.703953925098744,5203.74584379652,1.00000687034985
"11","beta_dist_goal[5]",-1.2750863010132,0.0043883138251211,0.329889154223078,-1.93170826360613,-1.48628196168988,-1.27248658019689,-1.0591757877648,-0.629852297615546,5651.2005363869,1.00018024408833
"12","beta_dist_goal[6]",-1.35145213050868,0.00468999147568168,0.359856218133318,-2.09673144189359,-1.57119434967782,-1.33829886330068,-1.12208573374986,-0.669765964646684,5887.26949157822,1.00000894099092
"13","beta_dist_keeper[1]",1.12454475947157,0.00772527911753426,0.641586337436723,0.0506212261911798,0.687573713760927,1.04745383577424,1.48770597507306,2.58160562983424,6897.34349626327,1.00019144157195
"14","beta_dist_keeper[2]",0.982886314602926,0.00457679583962303,0.45178613077186,0.157127192546897,0.672956925496856,0.960504178940722,1.26907553054706,1.92519403609825,9744.12191602186,1.00007499304705
"15","beta_dist_keeper[3]",0.0990861774530836,0.0124835191032955,0.767454120163835,-1.60349059649754,-0.382763470114327,0.201319518096238,0.654823798277685,1.3306051917956,3779.46896587429,1.00101415202652
"16","beta_dist_keeper[4]",1.11619276121073,0.0106546371109483,0.937858304365207,-0.343249633622272,0.554699279277273,0.961501551199374,1.49629472183269,3.47228327250314,7748.13415028995,1.00007346699419
"17","beta_dist_keeper[5]",0.881171873323201,0.0055629872379931,0.593355129640799,-0.238821407859934,0.502212688777442,0.853467623322915,1.23268719157977,2.15656824446017,11376.6206065791,1.00019863536981
"18","beta_dist_keeper[6]",0.475803822975284,0.00737594419706854,0.693578779717309,-1.08075227111794,0.0856601695756519,0.548522632984381,0.925948904687802,1.70019277744114,8842.11888401842,1.00020678559428
"19","beta_angle_goal[1]",-0.394752303098983,0.00347861135275266,0.317824181544796,-1.0927982271782,-0.581107564136038,-0.374168189440918,-0.186498302555131,0.18732903780364,8347.6081536407,1.00010768555861
"20","beta_angle_goal[2]",-0.295851817390602,0.00243911534751642,0.228973520147385,-0.75072475612022,-0.446503488809139,-0.295923408247127,-0.14437292470649,0.154075720626602,8812.6362369042,1.00001072120648
"21","beta_angle_goal[3]",-0.485830572972217,0.00556418312508376,0.405488800262882,-1.46109934731117,-0.679680209327516,-0.431373054183041,-0.22617499959026,0.158985551349081,5310.73825255645,1.00039104020475
"22","beta_angle_goal[4]",-0.187133585537057,0.00505104116096108,0.410709479794697,-0.906887076315762,-0.445296080170065,-0.223185826153541,0.0207745243285659,0.787287166858985,6611.61626048649,1.00079872882504
"23","beta_angle_goal[5]",-0.124384377281455,0.00523116925002034,0.367648343718035,-0.758875371318274,-0.374114010269832,-0.162167388629629,0.0914440578122249,0.676778627225564,4939.32592797202,1.00031102717675
"24","beta_angle_goal[6]",-0.475077625133722,0.004386628622537,0.337697827185516,-1.2407378484953,-0.663217421789809,-0.440672568342633,-0.245724340634703,0.0838555950898076,5926.45234446454,1.00081832567702
"25","beta_angle_dev[1]",0.303041033370816,0.004446487353121,0.337465810221012,-0.253179091752282,0.0871281317155303,0.261668870900618,0.469484215600447,1.11038983694541,5760.03916428623,1.00002380377995
"26","beta_angle_dev[2]",0.18090779874262,0.0019006083563255,0.202893121338582,-0.215999398872237,0.0474363642778983,0.179309959762124,0.315093513454237,0.582944351077165,11395.9196414617,1.00012098202336
"27","beta_angle_dev[3]",0.304371739224946,0.00498589795151939,0.37310128919507,-0.310470308301544,0.0786201628684204,0.254297357264997,0.468238574761213,1.23170439834123,5599.72537525267,1.00068188908772
"28","beta_angle_dev[4]",0.327588192572665,0.00656212529113509,0.445297421374675,-0.345930608175837,0.074156173930232,0.258009864868121,0.490767363622472,1.46806523215672,4604.80585188243,1.00084632691216
