"","player.name","player.name.GK","possession_team.name","play_pattern.name","shot.statsbomb_xg","shot.first_time","location.x","location.y","DistToGoal","DistToKeeper","AngleToGoal","AngleDeviation","avevelocity","DefendersInCone","InCone.GK","under_pressure","goal","shot.type.name_Free.Kick","shot.type.name_Open.Play","shot.type.name_Penalty","shot.technique.name_Half.Volley","shot.technique.name_Lob","shot.technique.name_Normal","shot.technique.name_Volley","shot.body_part.name_processed_Head","shot.body_part.name_processed_Other","shot.body_part.name_processed_Stronger.Foot","shot.body_part.name_processed_Weaker.Foot"
"24","Robert Pirès ","Carlo Cudicini","Arsenal","From Corner",0.010445771,0,96.4,28.1,2.86711631058085,0.648532978490132,1.51648241343172,0.215755760323565,-0.0628122360488779,4,3,0,0,0,1,0,1,0,0,0,0,0,1,0
"25","Thierry Henry","Carlo Cudicini","Arsenal","From Throw In",0.05302447,0,107.8,38.7,1.33091977124456,0.427101123905856,0.344698070213364,3.0407771291856,-0.0615705249428676,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"26","Robert Pirès ","Carlo Cudicini","Arsenal","Regular Play",0.025819095,0,97.9,30.4,2.6137716383664,0.338177527764892,1.3306356168147,1.08462231830381,-0.0373101427213884,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"27","Gilberto Aparecido da Silva","Carlo Cudicini","Arsenal","From Goal Kick",0.030991022,1,96.9,39.8,2.50592808087371,0.584124820684819,0.0281124173472692,0.0229148798446489,-0.0428078662749477,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"28","Robert Pirès ","Carlo Cudicini","Arsenal","From Free Kick",0.018532068,0,103.8,23.9,2.47759292247007,0.427101123905856,2.54018634841583,0.689261818282985,-0.0442083871648627,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"29","Robert Pirès ","Carlo Cudicini","Arsenal","From Corner",0.04494997,1,98.5,41.9,2.34135925869916,0.156761255739251,0.286206449915751,0.28916224532012,-0.0670933585253905,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"30","Thierry Henry","Carlo Cudicini","Arsenal","Regular Play",0.24950899,0,111.1,43.2,1.0259602112987,1.85737027964535,1.12074943974255,0.215629065553359,-0.0782721934826062,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"31","Nwankwo Christian Kanu","Carlo Cudicini","Arsenal","From Corner",0.0707688,0,112.5,45.3,0.996224330600067,0.536910601597009,1.99754990803652,1.43770538383585,-0.0602257273204962,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0
"32","Thierry Henry","Carlo Cudicini","Arsenal","From Free Kick",0.80951947,0,110.6,40.6,1.02176521260918,4.06975890401854,0.206978700431263,0.0314162934385682,-0.0835986596590939,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"33","Thierry Henry","Carlo Cudicini","Arsenal","From Goal Kick",0.03316599,0,110.9,33.6,1.20683540149257,0.291657611242337,1.99024028911332,0.770688234910015,-0.0747632940342791,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0
"34","Dennis Bergkamp","Carlo Cudicini","Arsenal","From Free Kick",0.07816828,1,99.6,33.5,2.32256238083833,1.4145310623354,1.00158130988139,0.758876252783182,-0.0470286882795622,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"35","Robert Pirès ","Thomas Løvendahl Sørensen","Arsenal","From Free Kick",0.017633846,1,99.8,62.4,3.27200012903481,1.45666683496982,2.71777913190042,0.0970639410012577,-0.0404861507012203,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
"36","Robert Pirès ","Thomas Løvendahl Sørensen","Arsenal","From Corner",0.0151691465,0,88.5,46.7,3.49348624810063,0.648532978490131,0.68050444975298,0.806002013825984,-0.0464917345984559,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0
"37","Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","Regular Play",0.09682565,0,110.4,51.8,1.65014467846787,0.976557102246603,2.88288103560581,0.505910468791444,-0.0431417093796211,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
"38","Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","From Free Kick",0.07899955,0,97.4,38.3,2.45852139536118,1.00705205666982,0.243789163666378,3.38877008372481,-0.0655559226402366,2,2,0,1,1,0,0,0,0,1,0,0,0,1,0
"39","Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","From Free Kick",0.023477051,0,104.6,23.4,2.45629472275382,0.886775575684343,2.67194707098413,0.423247620546368,-0.0564714516400841,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1
"40","Patrick Vieira","Thomas Løvendahl Sørensen","Arsenal","Regular Play",0.0076202904,0,84.2,40.3,3.88363691586095,0.83064124093496,0.0272094078100187,0.0758036048833624,-0.0337113718661385,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0
"41","Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","From Goal Kick",0.03707128,0,100.7,29.7,2.3731086293628,0.993350029681778,1.59179655117324,0.290399309988155,-0.043256463396909,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0
"42","Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","Other",0.76,0,108.1,40.1,1.29092984361631,0.043477749659537,0.0272856210557198,2.10098155911605,-0.0439060613830234,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
"43","Fredrik Ljungberg","Thomas Løvendahl Sørensen","Arsenal","From Goal Kick",0.2720138,1,112.5,35.8,0.932466373232447,0.674956181114925,1.65758893376442,1.41735883841737,0.00255218337544186,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"44","Ashley Cole","Thomas Løvendahl Sørensen","Arsenal","From Free Kick",0.043520596,0,76.7,19.3,5.20622749793745,2.2239623317391,1.44800312383269,0.92377519191036,-0.0616973497578278,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0
"45","Robert Pirès ","Thomas Løvendahl Sørensen","Arsenal","From Free Kick",0.087567896,0,103.3,29.5,2.13989903631822,1.27871897963184,1.82253243168,0.22996460243969,-0.0606559560943273,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"46","Ray Parlour","Thomas Løvendahl Sørensen","Arsenal","Regular Play",0.028320346,0,98.9,21.7,3.02981062905291,1.0334543116333,2.31987053309435,0.48762296691592,-0.0534356847117358,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
